athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Matic Ian GUČEK,SLO,men_400h,2023,49.48,48.91,0.57,3,0.2309,-0.57,18.9
Dany BRAND,SUI,men_400h,2021,48.96,48.96,0.0,3,0.4524,0.0,27.0
Dany BRAND,SUI,men_400h,2022,49.51,48.96,0.55,1,0.0,-0.55,27.0
Dany BRAND,SUI,men_400h,2023,49.45,48.96,0.49,4,0.226,-0.49,27.0
Rasheeme GRIFFITH,BAR,men_400h,2023,49.0,49.0,0.0,5,0.2279,0.0,23.0
Mario LAMBRUGHI,ITA,men_400h,2022,49.03,49.03,0.0,6,0.2543,0.0,30.4
Drake SCHNEIDER,USA,men_400h,2022,49.04,49.04,0.0,7,0.3798,0.0,
Drake SCHNEIDER,USA,men_400h,2023,49.75,49.04,0.71,1,0.0,-0.71,
Caleb CAVANAUGH,USA,men_400h,2022,49.59,49.04,0.55,3,0.2013,0.0,22.1
Caleb CAVANAUGH,USA,men_400h,2023,49.04,49.04,0.0,6,0.4181,0.55,22.1
Roxroy CATO,JAM,men_400h,2023,49.04,49.04,0.0,2,0.3606,0.0,35.5
Fedor IVANOV,RUS,men_400h,2021,49.67,49.06,0.61,2,0.198,0.0,20.2
Fedor IVANOV,RUS,men_400h,2022,49.06,49.06,0.0,6,0.3135,0.61,20.2
Fedor IVANOV,RUS,men_400h,2023,49.81,49.06,0.75,1,0.0,-0.75,20.2
Ramsey ANGELA,NED,men_400h,2021,49.07,49.07,0.0,9,0.2191,0.0,22.6
Ramsey ANGELA,NED,men_400h,2022,49.2,49.07,0.13,11,0.3024,-0.13,22.6
Ramsey ANGELA,NED,men_400h,2023,49.55,49.07,0.48,2,0.1202,-0.48,22.6
Tenjiro TANAKA,JPN,men_400h,2022,49.07,49.07,0.0,5,0.2502,0.0,21.1
Jason BALDRIDGE,USA,men_400h,2022,49.1,49.1,0.0,2,0.4808,0.0,22.8
Julien BONVIN,SUI,men_400h,2021,49.56,49.1,0.46,2,0.2263,0.0,23.6
Julien BONVIN,SUI,men_400h,2022,49.1,49.1,0.0,8,0.2128,0.46,23.6
