athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Anna WIELGOSZ,POL,women_800m,2023,121.46,119.84,1.62,1,0.0,-1.62,28.8
Kaela EDWARDS,USA,women_800m,2021,119.86,119.86,0.0,2,0.9899,0.0,28.6
Kaela EDWARDS,USA,women_800m,2022,120.25,119.86,0.39,2,0.8768,-0.39,28.6
Kaela EDWARDS,USA,women_800m,2023,120.22,119.86,0.36,1,0.0,-0.36,28.6
Adrianna TOPOLNICKA,POL,women_800m,2022,119.86,119.86,0.0,5,0.8753,0.0,23.1
Adrianna TOPOLNICKA,POL,women_800m,2023,120.4,119.86,0.54,3,0.7996,-0.54,23.1
Gabriela GAJANOVÁ,SVK,women_800m,2021,121.41,119.86,1.55,3,0.1909,0.0,22.9
Gabriela GAJANOVÁ,SVK,women_800m,2022,120.82,119.86,0.96,2,0.5728,0.59,22.9
Gabriela GAJANOVÁ,SVK,women_800m,2023,119.86,119.86,0.0,4,0.4727,0.96,22.9
Brenda MARTINEZ,USA,women_800m,2021,119.87,119.87,0.0,1,0.0,0.0,33.7
Olha LYAKHOVA,UKR,women_800m,2022,119.87,119.87,0.0,3,0.8766,0.0,30.4
Olha LYAKHOVA,UKR,women_800m,2023,121.79,119.87,1.92,1,0.0,-1.92,30.4
Sinclaire JOHNSON,USA,women_800m,2021,119.91,119.9,0.01,4,0.7917,0.0,23.6
Sinclaire JOHNSON,USA,women_800m,2022,119.9,119.9,0.0,3,1.028,0.01,23.6
Sinclaire JOHNSON,USA,women_800m,2023,121.14,119.9,1.24,1,0.0,-1.24,23.6
Abigail IVES,GBR,women_800m,2022,121.56,119.92,1.64,3,0.1973,0.0,18.6
Abigail IVES,GBR,women_800m,2023,119.92,119.92,0.0,2,0.6364,1.64,18.6
Eveliina MÄÄTTÄNEN,FIN,women_800m,2022,121.14,119.96,1.18,2,0.2687,0.0,27.8
Eveliina MÄÄTTÄNEN,FIN,women_800m,2023,119.96,119.96,0.0,5,0.9164,1.18,27.8
Ellinor PURRIER,USA,women_800m,2021,119.99,119.99,0.0,1,0.0,0.0,26.2
Sahily DIAGO MESA,CUB,women_800m,2021,120.04,120.02,0.02,4,0.5788,0.0,26.4
Sahily DIAGO MESA,CUB,women_800m,2022,120.38,120.02,0.36,2,0.8485,-0.34,26.4
Sahily DIAGO MESA,CUB,women_800m,2023,120.02,120.02,0.0,2,0.6223,0.02,26.4
Claire SEYMOUR,USA,women_800m,2021,121.91,120.04,1.87,1,0.0,0.0,
Claire SEYMOUR,USA,women_800m,2023,120.04,120.04,0.0,5,0.7258,1.87,
Naomi KORIR,KEN,women_800m,2022,120.06,120.06,0.0,5,0.7675,0.0,23.9
Naomi KORIR,KEN,women_800m,2023,120.35,120.06,0.29,4,0.7189,-0.29,23.9
Patricia SILVA,POR,women_800m,2023,120.07,120.07,0.0,4,0.876,0.0,23.5
Danielle JONES,USA,women_800m,2021,120.1,120.1,0.0,2,0.792,0.0,25.0
Olga RODIOSHKINA,ANA,women_800m,2021,120.15,120.15,0.0,1,0.0,0.0,21.0
Olga RODIOSHKINA,ANA,women_800m,2022,121.96,120.15,1.81,1,0.0,-1.81,21.0
Lorea IBARZABAL,ESP,women_800m,2023,120.17,120.17,0.0,3,0.7817,0.0,28.6
Emily MACKAY,USA,women_800m,2023,120.17,120.17,0.0,1,0.0,0.0,
Georgie HARTIGAN,IRL,women_800m,2021,120.18,120.18,0.0,3,0.5346,0.0,25.3
Isabelle BOFFEY,GBR,women_800m,2021,121.24,120.18,1.06,3,0.3781,0.0,23.1
Isabelle BOFFEY,GBR,women_800m,2022,121.3,120.18,1.12,2,0.1273,-0.06,23.1
Isabelle BOFFEY,GBR,women_800m,2023,120.18,120.18,0.0,6,0.7048,1.06,23.1
Déborah RODRÍGUEZ,URU,women_800m,2021,120.2,120.2,0.0,5,0.7741,0.0,28.7
Emily BROOKS-RICHARDS,USA,women_800m,2022,120.2,120.2,0.0,4,0.5791,0.0,27.0
Emily BROOKS-RICHARDS,USA,women_800m,2023,120.82,120.2,0.62,2,0.2263,-0.62,27.0
Elise CRANNY,USA,women_800m,2022,120.49,120.25,0.24,1,0.0,0.0,26.6
Elise CRANNY,USA,women_800m,2023,120.25,120.25,0.0,1,0.0,0.24,26.6
Bianka BARTHA-KÉRI,HUN,women_800m,2021,121.34,120.29,1.05,5,0.2217,0.0,28.2
Bianka BARTHA-KÉRI,HUN,women_800m,2022,120.29,120.29,0.0,7,0.4478,1.05,28.2
Gabija GALVYDYTĖ,LTU,women_800m,2022,121.76,120.29,1.47,1,0.0,0.0,23.4
Gabija GALVYDYTĖ,LTU,women_800m,2023,120.29,120.29,0.0,2,0.1273,1.47,23.4
Danielle ARAGON,USA,women_800m,2021,120.3,120.3,0.0,2,1.1102,0.0,27.0
Valery TOBIAS,USA,women_800m,2023,120.31,120.31,0.0,2,0.2616,0.0,
Georgia GRIFFITH,AUS,women_800m,2022,120.36,120.36,0.0,3,0.7047,0.0,25.7
Georgia GRIFFITH,AUS,women_800m,2023,120.41,120.36,0.05,2,0.9192,-0.05,25.7
Tigist GIRMA,ETH,women_800m,2023,120.42,120.42,0.0,2,0.3889,0.0,20.6
Eleanor FULTON,USA,women_800m,2022,120.45,120.45,0.0,2,0.5798,0.0,29.2
Eglay Nafuna NALYANYA,KEN,women_800m,2021,120.5,120.5,0.0,4,0.5578,0.0,25.1
Eloisa COIRO,ITA,women_800m,2022,120.5,120.5,0.0,5,0.5611,0.0,21.8
Eloisa COIRO,ITA,women_800m,2023,120.8,120.5,0.3,3,0.1457,-0.3,21.8
Ellie SANFORD,AUS,women_800m,2022,121.98,120.5,1.48,1,0.0,0.0,25.3
Ellie SANFORD,AUS,women_800m,2023,120.5,120.5,0.0,4,0.3159,1.48,25.3
Firezewid TESFAYE,ETH,women_800m,2023,120.52,120.52,0.0,1,0.0,0.0,19.6
Annemarie NISSEN,DEN,women_800m,2022,120.58,120.58,0.0,2,0.9758,0.0,28.2
Annemarie NISSEN,DEN,women_800m,2023,121.23,120.58,0.65,1,0.0,-0.65,28.2
Daniela GARCÍA,ESP,women_800m,2023,120.58,120.58,0.0,1,0.0,0.0,21.8
Shannon OSIKA,USA,women_800m,2021,120.6,120.6,0.0,1,0.0,0.0,28.0
Anna CAMP BENNETT,USA,women_800m,2022,120.6,120.6,0.0,3,0.3194,0.0,
Anna CAMP BENNETT,USA,women_800m,2023,121.63,120.6,1.03,1,0.0,-1.03,
Laurie BARTON,USA,women_800m,2021,120.65,120.65,0.0,4,0.4415,0.0,24.3
Laurie BARTON,USA,women_800m,2022,120.78,120.65,0.13,4,0.1226,-0.13,24.3
Laurie BARTON,USA,women_800m,2023,121.79,120.65,1.14,1,0.0,-1.14,24.3
Sophia GORRIARAN,USA,women_800m,2022,120.65,120.65,0.0,1,0.0,0.0,16.9
Tanja SPILL,GER,women_800m,2021,120.66,120.66,0.0,3,0.5502,0.0,25.5
Tanja SPILL,GER,women_800m,2022,121.98,120.66,1.32,1,0.0,-1.32,25.5
Jazz SHUKLA,CAN,women_800m,2022,120.67,120.67,0.0,3,0.7343,0.0,23.9
Jazz SHUKLA,CAN,women_800m,2023,120.84,120.67,0.17,2,0.4172,-0.17,23.9
Joanna JÓŹWIK,POL,women_800m,2021,120.73,120.73,0.0,3,0.5707,0.0,30.4
Gaia SABBATINI,ITA,women_800m,2021,120.75,120.75,0.0,1,0.0,0.0,22.4
Gaia SABBATINI,ITA,women_800m,2022,121.38,120.75,0.63,1,0.0,-0.63,22.4
