athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Ronald MUSAGALA,UGA,men_1500m,2021,213.99,213.99,0.0,4,1.3498,0.0,28.5
Ronald MUSAGALA,UGA,men_1500m,2022,215.6,213.99,1.61,2,0.9192,-1.61,28.5
Kyumbe MUNGUTI,KEN,men_1500m,2022,216.12,214.02,2.1,5,0.747,0.0,27.8
Kyumbe MUNGUTI,KEN,men_1500m,2023,214.02,214.02,0.0,5,1.9134,2.1,27.8
Henry WYNNE,USA,men_1500m,2021,214.08,214.08,0.0,5,1.705,0.0,26.2
Henry WYNNE,USA,men_1500m,2023,215.45,214.08,1.37,1,0.0,-1.37,26.2
Matthew RAMSDEN,AUS,men_1500m,2021,214.08,214.08,0.0,5,1.7414,0.0,24.0
Matthew RAMSDEN,AUS,men_1500m,2022,216.38,214.08,2.3,2,0.4738,-2.3,24.0
Matthew RAMSDEN,AUS,men_1500m,2023,215.52,214.08,1.44,1,0.0,-1.44,24.0
Amon KEMBOI,KEN,men_1500m,2023,214.12,214.12,0.0,2,1.888,0.0,
Brahim KAAZOUZI,MAR,men_1500m,2021,214.13,214.13,0.0,4,0.7769,0.0,31.0
Wegene ADDISU,ETH,men_1500m,2021,214.21,214.21,0.0,2,2.5809,0.0,17.6
Wegene ADDISU,ETH,men_1500m,2022,217.93,214.21,3.72,1,0.0,-3.72,17.6
Wegene ADDISU,ETH,men_1500m,2023,216.31,214.21,2.1,1,0.0,-2.1,17.6
Abdirahman Saeed HASSAN,QAT,men_1500m,2021,214.24,214.24,0.0,1,0.0,0.0,24.1
Casey COMBER,USA,men_1500m,2021,217.76,214.24,3.52,1,0.0,0.0,26.6
Casey COMBER,USA,men_1500m,2023,214.24,214.24,0.0,2,2.4324,3.52,26.6
Romain MORNET,FRA,men_1500m,2022,217.6,214.29,3.31,1,0.0,0.0,25.2
Romain MORNET,FRA,men_1500m,2023,214.29,214.29,0.0,1,0.0,3.31,25.2
Charlie HUNTER,AUS,men_1500m,2021,217.61,214.32,3.29,1,0.0,0.0,25.9
Charlie HUNTER,AUS,men_1500m,2022,214.32,214.32,0.0,2,2.1284,3.29,25.9
Benoit CAMPION,FRA,men_1500m,2023,214.34,214.34,0.0,2,2.3829,0.0,25.3
John GREGOREK,USA,men_1500m,2021,214.49,214.35,0.14,4,1.2321,0.0,30.5
John GREGOREK,USA,men_1500m,2022,215.29,214.35,0.94,5,1.1099,-0.8,30.5
John GREGOREK,USA,men_1500m,2023,214.35,214.35,0.0,2,1.3364,0.14,30.5
Adrián BEN,ESP,men_1500m,2021,217.79,214.35,3.44,1,0.0,0.0,23.8
Adrián BEN,ESP,men_1500m,2022,216.41,214.35,2.06,1,0.0,1.38,23.8
Adrián BEN,ESP,men_1500m,2023,214.35,214.35,0.0,1,0.0,2.06,23.8
Amos BARTELSMEYER,GER,men_1500m,2021,215.24,214.39,0.85,4,0.8817,0.0,26.9
Amos BARTELSMEYER,GER,men_1500m,2023,214.39,214.39,0.0,1,0.0,0.85,26.9
Simon DENISSEL,FRA,men_1500m,2021,214.43,214.43,0.0,6,1.2821,0.0,31.3
Simon DENISSEL,FRA,men_1500m,2022,217.57,214.43,3.14,1,0.0,-3.14,31.3
Simon DENISSEL,FRA,men_1500m,2023,217.52,214.43,3.09,2,0.3394,-3.09,31.3
Abu MAYANJA,UGA,men_1500m,2023,214.51,214.51,0.0,4,1.0084,0.0,27.7
Ossama MESLEK,ITA,men_1500m,2022,216.04,214.53,1.51,2,0.8556,0.0,26.4
Ossama MESLEK,ITA,men_1500m,2023,214.53,214.53,0.0,3,0.5294,1.51,26.4
Kasey KNEVELBAARD,USA,men_1500m,2023,214.55,214.55,0.0,2,1.1667,0.0,
Justin KIPKOECH,KEN,men_1500m,2022,217.36,214.56,2.8,1,0.0,0.0,24.7
Justin KIPKOECH,KEN,men_1500m,2023,214.56,214.56,0.0,3,1.1704,2.8,24.7
Vincent CIATTEI,USA,men_1500m,2021,214.57,214.57,0.0,2,1.9799,0.0,27.3
Vincent CIATTEI,USA,men_1500m,2022,215.07,214.57,0.5,4,0.7749,-0.5,27.3
Vincent CIATTEI,USA,men_1500m,2023,217.24,214.57,2.67,1,0.0,-2.67,27.3
Anass ESSAYI,MAR,men_1500m,2021,214.58,214.58,0.0,6,1.0218,0.0,20.1
Anass ESSAYI,MAR,men_1500m,2023,216.64,214.58,2.06,2,0.1768,-2.06,20.1
Piers COPELAND,GBR,men_1500m,2021,214.62,214.62,0.0,2,2.1213,0.0,22.5
Piers COPELAND,GBR,men_1500m,2023,217.66,214.62,3.04,1,0.0,-3.04,22.5
Samuel PRAKEL,USA,men_1500m,2021,216.86,214.63,2.23,4,0.3797,0.0,27.6
Samuel PRAKEL,USA,men_1500m,2022,214.92,214.63,0.29,7,0.8764,1.94,27.6
Samuel PRAKEL,USA,men_1500m,2023,214.63,214.63,0.0,2,0.8132,0.29,27.6
Festus LAGAT,KEN,men_1500m,2022,214.65,214.65,0.0,2,2.192,0.0,25.8
Festus LAGAT,KEN,men_1500m,2023,217.57,214.65,2.92,1,0.0,-2.92,25.8
Adisu GIRMA,ETH,men_1500m,2022,215.81,214.71,1.1,2,0.8273,0.0,23.0
Adisu GIRMA,ETH,men_1500m,2023,214.71,214.71,0.0,2,2.185,1.1,23.0
Kumari TAKI,KEN,men_1500m,2022,214.73,214.73,0.0,7,1.0193,0.0,23.1
Luke MCCANN,IRL,men_1500m,2021,216.81,214.76,2.05,3,0.5302,0.0,23.8
Luke MCCANN,IRL,men_1500m,2022,215.65,214.76,0.89,2,0.9051,1.16,23.8
Luke MCCANN,IRL,men_1500m,2023,214.76,214.76,0.0,1,0.0,0.89,23.8
Ruben VERHEYDEN,BEL,men_1500m,2022,215.19,214.84,0.35,4,1.1844,0.0,21.5
Ruben VERHEYDEN,BEL,men_1500m,2023,214.84,214.84,0.0,3,0.6591,0.35,21.5
Andrew HUNTER,USA,men_1500m,2022,214.86,214.86,0.0,2,1.0677,0.0,25.4
Andrew HUNTER,USA,men_1500m,2023,215.33,214.86,0.47,2,1.5627,-0.47,25.4
Elzan BIBIĆ,SRB,men_1500m,2021,216.71,215.12,1.59,1,0.0,0.0,24.4
Elzan BIBIĆ,SRB,men_1500m,2022,216.3,215.12,1.18,1,0.0,0.41,24.4
Elzan BIBIĆ,SRB,men_1500m,2023,215.12,215.12,0.0,3,0.7004,1.18,24.4
Pieter SISK,BEL,men_1500m,2023,215.12,215.12,0.0,4,0.9757,0.0,23.5
Fouad MESSAOUDI,MAR,men_1500m,2023,215.16,215.16,0.0,2,1.0112,0.0,22.3
Robert HEPPENSTALL,CAN,men_1500m,2022,215.17,215.17,0.0,3,1.1973,0.0,25.4
Robert HEPPENSTALL,CAN,men_1500m,2023,216.41,215.17,1.24,2,0.396,-1.24,25.4
Jochem VERMEULEN,BEL,men_1500m,2021,215.21,215.21,0.0,3,0.9198,0.0,24.0
Jochem VERMEULEN,BEL,men_1500m,2022,216.09,215.21,0.88,5,0.7211,-0.88,24.0
Jochem VERMEULEN,BEL,men_1500m,2023,215.8,215.21,0.59,3,0.1986,-0.59,24.0
Arthur GERVAIS,FRA,men_1500m,2023,215.22,215.22,0.0,2,1.8597,0.0,23.3
Alexis MIELLET,FRA,men_1500m,2021,216.03,215.25,0.78,1,0.0,0.0,27.1
Alexis MIELLET,FRA,men_1500m,2023,215.25,215.25,0.0,1,0.0,0.78,27.1
Boaz KIPRUGUT,KEN,men_1500m,2021,215.26,215.26,0.0,4,0.769,0.0,23.1
Luis GRIJALVA,GUA,men_1500m,2021,215.32,215.32,0.0,2,0.8556,0.0,22.2
Ashenafi GADISA,ETH,men_1500m,2023,215.38,215.38,0.0,2,1.1314,0.0,
Jesús GÓMEZ,ESP,men_1500m,2021,215.7,215.38,0.32,2,0.0,0.0,32.1
Jesús GÓMEZ,ESP,men_1500m,2023,215.38,215.38,0.0,3,1.2153,0.32,32.1
Nick WILLIS,NZL,men_1500m,2021,215.41,215.41,0.0,2,1.0394,0.0,38.3
Kazuki KAWAMURA,JPN,men_1500m,2021,215.42,215.42,0.0,1,0.0,0.0,24.2
Kazuki KAWAMURA,JPN,men_1500m,2022,217.08,215.42,1.66,1,0.0,-1.66,24.2
Kieran LUMB,CAN,men_1500m,2023,215.43,215.43,0.0,4,0.976,0.0,24.8
Mason FERLIC,USA,men_1500m,2021,215.45,215.45,0.0,1,0.0,0.0,27.8
Hicham OULADHA,MAR,men_1500m,2022,215.48,215.48,0.0,2,0.2758,0.0,27.2
David RIBICH,USA,men_1500m,2021,216.7,215.51,1.19,1,0.0,0.0,26.0
David RIBICH,USA,men_1500m,2022,215.51,215.51,0.0,1,0.0,1.19,26.0
Grant FISHER,USA,men_1500m,2021,216.52,215.53,0.99,1,0.0,0.0,25.1
Grant FISHER,USA,men_1500m,2022,215.53,215.53,0.0,1,0.0,0.99,25.1
Grant FISHER,USA,men_1500m,2023,216.85,215.53,1.32,1,0.0,-1.32,25.1
Joshua THOMPSON,USA,men_1500m,2021,215.88,215.55,0.33,4,0.7893,0.0,29.1
Joshua THOMPSON,USA,men_1500m,2022,215.55,215.55,0.0,6,1.0609,0.33,29.1
James WEST,GBR,men_1500m,2021,215.59,215.59,0.0,1,0.0,0.0,26.4
James WEST,GBR,men_1500m,2023,217.34,215.59,1.75,1,0.0,-1.75,26.4
Eric AVILA,USA,men_1500m,2021,215.6,215.6,0.0,2,1.1314,0.0,31.6
Hicham AKANKAM,MAR,men_1500m,2022,216.65,215.6,1.05,1,0.0,0.0,25.2
Hicham AKANKAM,MAR,men_1500m,2023,215.6,215.6,0.0,6,0.8566,1.05,25.2
Vladimir NIKITIN,RUS,men_1500m,2022,215.62,215.62,0.0,2,1.0889,0.0,30.0
Tom ELMER,SUI,men_1500m,2022,215.66,215.62,0.04,1,0.0,0.0,26.2
Tom ELMER,SUI,men_1500m,2023,215.62,215.62,0.0,2,0.6505,0.04,26.2
Rob NAPOLITANO,PUR,men_1500m,2021,215.63,215.63,0.0,2,0.891,0.0,26.6
Mike FOPPEN,NED,men_1500m,2022,215.67,215.67,0.0,3,1.1053,0.0,25.6
Mike FOPPEN,NED,men_1500m,2023,216.0,215.67,0.33,1,0.0,-0.33,25.6
Mohamed ABDILAAHI,GER,men_1500m,2022,215.69,215.69,0.0,2,0.2263,0.0,23.2
Mohamed ABDILAAHI,GER,men_1500m,2023,217.86,215.69,2.17,1,0.0,-2.17,23.2
Adam FOGG,GBR,men_1500m,2022,217.96,215.7,2.26,1,0.0,0.0,24.4
Adam FOGG,GBR,men_1500m,2023,215.7,215.7,0.0,3,0.9436,2.26,24.4
Illia KARNAVUKHAU,BLR,men_1500m,2022,215.73,215.73,0.0,2,0.1556,0.0,23.1
Pol ORIACH,ESP,men_1500m,2021,217.67,215.77,1.9,1,0.0,0.0,20.2
Pol ORIACH,ESP,men_1500m,2022,217.1,215.77,1.33,1,0.0,0.57,20.2
Pol ORIACH,ESP,men_1500m,2023,215.77,215.77,0.0,2,0.3323,1.33,20.2
Saúl ORDÓÑEZ,ESP,men_1500m,2022,216.99,215.78,1.21,1,0.0,0.0,28.7
Saúl ORDÓÑEZ,ESP,men_1500m,2023,215.78,215.78,0.0,1,0.0,1.21,28.7
Eric HOLT,USA,men_1500m,2021,216.62,215.8,0.82,1,0.0,0.0,27.2
Eric HOLT,USA,men_1500m,2022,215.8,215.8,0.0,4,0.8546,0.82,27.2
Eric HOLT,USA,men_1500m,2023,217.07,215.8,1.27,2,0.3536,-1.27,27.2
Santiago CATROFE,URU,men_1500m,2021,215.82,215.82,0.0,4,1.0477,0.0,22.4
Santiago CATROFE,URU,men_1500m,2022,215.86,215.82,0.04,2,0.396,-0.04,22.4
Filip SASÍNEK,CZE,men_1500m,2021,215.82,215.82,0.0,3,0.6967,0.0,26.0
Filip SASÍNEK,CZE,men_1500m,2022,216.22,215.82,0.4,3,0.1701,-0.4,26.0
Paul RYAN,USA,men_1500m,2021,216.48,215.82,0.66,3,0.6261,0.0,24.2
