athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Chenlong YUAN,CHN,men_LJ,2022,8.12,8.12,0.0,1,0.0,0.0,20.4
Weslley BERALDO,BRA,men_LJ,2022,8.0,8.12,0.12,1,0.0,0.0,23.8
Weslley BERALDO,BRA,men_LJ,2023,8.12,8.12,0.0,1,0.0,0.12,23.8
Thapelo MONAIWA,BOT,men_LJ,2023,8.12,8.12,0.0,1,0.0,0.0,25.1
Yu-Tang LIN,TPE,men_LJ,2023,8.12,8.12,0.0,1,0.0,0.0,23.0
Tom CAMPAGNE,FRA,men_LJ,2022,8.06,8.12,0.06,1,0.0,0.0,22.1
Tom CAMPAGNE,FRA,men_LJ,2023,8.12,8.12,0.0,1,0.0,0.06,22.1
Radek JUŠKA,CZE,men_LJ,2021,8.11,8.11,0.0,1,0.0,0.0,29.2
Radek JUŠKA,CZE,men_LJ,2022,8.11,8.11,0.0,2,0.0707,0.0,29.2
Danil CHECHELA,RUS,men_LJ,2021,8.11,8.11,0.0,1,0.0,0.0,21.2
Gabriel BITAN,ROU,men_LJ,2021,8.11,8.11,0.0,2,0.0778,0.0,22.9
Gabriel BITAN,ROU,men_LJ,2022,8.07,8.11,0.04,1,0.0,-0.04,22.9
Héctor SANTOS,ESP,men_LJ,2022,8.11,8.11,0.0,3,0.0265,0.0,24.4
Héctor SANTOS,ESP,men_LJ,2023,8.01,8.11,0.1,1,0.0,-0.1,24.4
Henry FRAYNE,AUS,men_LJ,2022,8.11,8.11,0.0,2,0.0071,0.0,32.3
Yuto TORIUMI,JPN,men_LJ,2022,8.11,8.11,0.0,1,0.0,0.0,21.1
Jaime GUERRA,ESP,men_LJ,2022,8.08,8.11,0.03,1,0.0,0.0,23.0
Jaime GUERRA,ESP,men_LJ,2023,8.11,8.11,0.0,1,0.0,0.03,23.0
Emanuel ARCHIBALD,GUY,men_LJ,2021,8.1,8.1,0.0,2,0.0212,0.0,26.4
Filippo RANDAZZO,ITA,men_LJ,2021,8.1,8.1,0.0,3,0.0451,0.0,25.1
Jose MANDROS MARTINEZ,PER,men_LJ,2022,8.1,8.1,0.0,4,0.0419,0.0,23.6
Jermel JONES II,USA,men_LJ,2023,8.1,8.1,0.0,1,0.0,0.0,
Sergey NYKYFOROV,UKR,men_LJ,2021,8.09,8.09,0.0,1,0.0,0.0,27.4
Isaac GRIMES,USA,men_LJ,2021,8.09,8.09,0.0,4,0.0299,0.0,23.3
Isaac GRIMES,USA,men_LJ,2022,8.05,8.09,0.04,1,0.0,-0.04,23.3
William JONES,USA,men_LJ,2022,8.09,8.09,0.0,1,0.0,0.0,
Filip PRAVDICA,CRO,men_LJ,2022,8.03,8.09,0.06,2,0.0212,0.0,27.4
Filip PRAVDICA,CRO,men_LJ,2023,8.09,8.09,0.0,2,0.0566,0.06,27.4
Tristan JAMES,DMA,men_LJ,2022,8.08,8.08,0.0,1,0.0,0.0,24.8
Andwuelle WRIGHT,TTO,men_LJ,2022,8.08,8.08,0.0,1,0.0,0.0,24.9
Asande MTHEMBU,RSA,men_LJ,2023,8.08,8.08,0.0,1,0.0,0.0,18.8
Janry UBAS,PHI,men_LJ,2023,8.08,8.08,0.0,1,0.0,0.0,29.3
Charles BROWN,USA,men_LJ,2021,8.07,8.07,0.0,1,0.0,0.0,23.9
Keisuke MATSUMOTO,JPN,men_LJ,2022,8.07,8.07,0.0,1,0.0,0.0,22.9
Malcolm CLEMONS,USA,men_LJ,2023,8.07,8.07,0.0,1,0.0,0.0,21.2
Abraham SEANEKE,GHA,men_LJ,2021,8.06,8.06,0.0,1,0.0,0.0,
Carter SHELL,USA,men_LJ,2022,8.06,8.06,0.0,1,0.0,0.0,22.8
Johnny BRACKINS,USA,men_LJ,2022,8.06,8.06,0.0,2,0.0212,0.0,18.9
Johnny BRACKINS,USA,men_LJ,2023,8.03,8.06,0.03,1,0.0,-0.03,18.9
Yaming ZHU,CHN,men_LJ,2023,8.06,8.06,0.0,1,0.0,0.0,29.0
Temoso MASIKANE,RSA,men_LJ,2023,8.06,8.06,0.0,1,0.0,0.0,17.0
Jin-syok SUNG,KOR,men_LJ,2023,8.06,8.06,0.0,1,0.0,0.0,26.5
Andrzej KUCH,POL,men_LJ,2021,8.05,8.05,0.0,1,0.0,0.0,29.7
Riku ITO,JPN,men_LJ,2021,8.05,8.05,0.0,2,0.0354,0.0,20.5
Julian COLLINS,USA,men_LJ,2022,8.05,8.05,0.0,1,0.0,0.0,
Shawn-D THOMPSON,JAM,men_LJ,2022,8.05,8.05,0.0,1,0.0,0.0,25.5
Xiangqin ZHUGE,CHN,men_LJ,2022,8.05,8.05,0.0,1,0.0,0.0,24.8
Karabo SATEKGE,RSA,men_LJ,2023,8.05,8.05,0.0,1,0.0,0.0,22.4
Darcy ROPER,AUS,men_LJ,2021,8.02,8.05,0.03,1,0.0,0.0,24.2
Darcy ROPER,AUS,men_LJ,2023,8.05,8.05,0.0,1,0.0,0.03,24.2
Divan MANUEL,RSA,men_LJ,2021,8.04,8.04,0.0,2,0.0141,0.0,24.6
Ryan BROWN,JAM,men_LJ,2021,8.04,8.04,0.0,1,0.0,0.0,22.7
Gabriel Luiz BOZA,BRA,men_LJ,2021,8.04,8.04,0.0,1,0.0,0.0,18.5
Thalosang TSHIRELETSO,BOT,men_LJ,2022,8.04,8.04,0.0,1,0.0,0.0,31.0
