discipline,year,competition,date,athlete_name,place,mark,tier,name_key
men_PV,2018,Diamond League Final,2018-08-18,Timur MORGUNOV,1,5.93,dl_final,TIMUR MORGUNOV
men_PV,2018,Diamond League Final,2018-08-18,Sam KENDRICKS,2,5.88,dl_final,SAM KENDRICKS
men_PV,2018,Diamond League Final,2018-08-18,Shawnacy BARBER,3,5.83,dl_final,SHAWNACY BARBER
men_PV,2018,European Athletics Championships,2018-08-12,Armand DUPLANTIS,1,6.05,continental,ARMAND DUPLANTIS
men_PV,2018,European Athletics Championships,2018-08-12,Timur MORGUNOV,2,6.00,continental,TIMUR MORGUNOV
men_PV,2018,European Athletics Championships,2018-08-12,Renaud LAVILLENIE,3,5.95,continental,RENAUD LAVILLENIE
men_PV,2018,IAAF Continental Cup,2018-09-09,Sam KENDRICKS,1,5.85,continental,SAM KENDRICKS
men_PV,2018,IAAF Continental Cup,2018-09-09,Renaud LAVILLENIE,2,5.80,continental,RENAUD LAVILLENIE
men_PV,2018,IAAF Continental Cup,2018-09-09,Shawnacy BARBER,3,5.65,continental,SHAWNACY BARBER
men_SP,2018,Diamond League Final,2018-08-18,Tom WALSH,1,22.60,dl_final,TOM WALSH
men_SP,2018,Diamond League Final,2018-08-18,Darrell HILL,2,22.40,dl_final,DARRELL HILL
men_SP,2018,Diamond League Final,2018-08-18,Ryan CROUSER,3,22.18,dl_final,RYAN CROUSER
men_SP,2018,European Athletics Championships,2018-08-07,Michał HARATYK,1,21.72,continental,MICHAŁ HARATYK
men_SP,2018,European Athletics Championships,2018-08-07,Konrad BUKOWIECKI,2,21.66,continental,KONRAD BUKOWIECKI
men_SP,2018,European Athletics Championships,2018-08-07,David STORL,3,21.41,continental,DAVID STORL
men_SP,2018,IAAF Continental Cup,2018-09-08,Darlan ROMANI,1,21.89,continental,DARLAN ROMANI
men_SP,2018,IAAF Continental Cup,2018-09-08,Tom WALSH,2,21.43,continental,TOM WALSH
men_SP,2018,IAAF Continental Cup,2018-09-08,Michał HARATYK,3,21.36,continental,MICHAŁ HARATYK
men_TJ,2018,Diamond League Final,2018-08-18,Pedro PICHARDO,1,17.49,dl_final,PEDRO PICHARDO
men_TJ,2018,Diamond League Final,2018-08-18,Christian TAYLOR,2,17.31,dl_final,CHRISTIAN TAYLOR
men_TJ,2018,Diamond League Final,2018-08-18,Donald SCOTT,3,17.25,dl_final,DONALD SCOTT
men_TJ,2018,European Athletics Championships,2018-08-12,Nelson ÉVORA,1,17.10,continental,NELSON EVORA
men_TJ,2018,European Athletics Championships,2018-08-12,Alexis COPELLO,2,16.93,continental,ALEXIS COPELLO
men_TJ,2018,European Athletics Championships,2018-08-12,Dimitrios TSIAMIS,3,16.78,continental,DIMITRIOS TSIAMIS
men_TJ,2018,IAAF Continental Cup,2018-09-09,Christian TAYLOR,1,17.59,continental,CHRISTIAN TAYLOR
men_TJ,2018,IAAF Continental Cup,2018-09-09,Hugues Fabrice ZANGO,2,17.02,continental,HUGUES FABRICE ZANGO
men_TJ,2018,IAAF Continental Cup,2018-09-09,Arpinder SINGH,3,16.59,continental,ARPINDER SINGH
women_100h,2018,Diamond League Final,2018-08-18,Brianna ROLLINS-MCNEAL,1,12.61,dl_final,BRIANNA ROLLINS-MCNEAL
women_100h,2018,Diamond League Final,2018-08-18,Kendra HARRISON,2,12.63,dl_final,KENDRA HARRISON
women_100h,2018,Diamond League Final,2018-08-18,Danielle WILLIAMS,3,12.64,dl_final,DANIELLE WILLIAMS
women_100h,2018,European Athletics Championships,2018-08-09,Elvira HERMAN,1,12.67,continental,ELVIRA HERMAN
women_100h,2018,European Athletics Championships,2018-08-09,Pamela DUTKIEWICZ,2,12.72,continental,PAMELA DUTKIEWICZ
women_100h,2018,European Athletics Championships,2018-08-09,Cindy ROLEDER,3,12.77,continental,CINDY ROLEDER
women_100h,2018,IAAF Continental Cup,2018-09-08,Danielle WILLIAMS,1,12.49,continental,DANIELLE WILLIAMS
women_100h,2018,IAAF Continental Cup,2018-09-08,Kendra HARRISON,2,12.52,continental,KENDRA HARRISON
women_100h,2018,IAAF Continental Cup,2018-09-08,Pamela DUTKIEWICZ,3,12.82,continental,PAMELA DUTKIEWICZ
women_100m,2018,Diamond League Final,2018-08-18,Murielle AHOURÉ,1,11.01,dl_final,MURIELLE AHOURE
women_100m,2018,Diamond League Final,2018-08-18,Dina ASHER-SMITH,2,11.08,dl_final,DINA ASHER-SMITH
women_100m,2018,Diamond League Final,2018-08-18,Marie-Josée TA LOU,3,11.10,dl_final,MARIE-JOSEE TA LOU
women_100m,2018,European Athletics Championships,2018-08-07,Dina ASHER-SMITH,1,10.85,continental,DINA ASHER-SMITH
women_100m,2018,European Athletics Championships,2018-08-07,Gina LÜCKENKEMPER,2,10.98,continental,GINA LUCKENKEMPER
women_100m,2018,European Athletics Championships,2018-08-07,Dafne SCHIPPERS,3,10.99,continental,DAFNE SCHIPPERS
women_100m,2018,IAAF Continental Cup,2018-09-08,Marie-Josée TA LOU,1,11.14,continental,MARIE-JOSEE TA LOU
women_100m,2018,IAAF Continental Cup,2018-09-08,Dina ASHER-SMITH,2,11.16,continental,DINA ASHER-SMITH
women_100m,2018,IAAF Continental Cup,2018-09-08,Jenna PRANDINI,3,11.21,continental,JENNA PRANDINI
women_1500m,2018,Diamond League Final,2018-08-18,Laura MUIR,1,3:58.49,dl_final,LAURA MUIR
women_1500m,2018,Diamond League Final,2018-08-18,Shelby HOULIHAN,2,3:58.94,dl_final,SHELBY HOULIHAN
women_1500m,2018,Diamond League Final,2018-08-18,Sifan HASSAN,3,3:59.41,dl_final,SIFAN HASSAN
women_1500m,2018,European Athletics Championships,2018-08-12,Laura MUIR,1,4:02.32,continental,LAURA MUIR
women_1500m,2018,European Athletics Championships,2018-08-12,Sofia ENNAOUI,2,4:03.08,continental,SOFIA ENNAOUI
women_1500m,2018,European Athletics Championships,2018-08-12,Laura WEIGHTMAN,3,4:03.75,continental,LAURA WEIGHTMAN
women_1500m,2018,IAAF Continental Cup,2018-09-08,Winny CHEBET,1,4:16.01,continental,WINNY CHEBET
women_1500m,2018,IAAF Continental Cup,2018-09-08,Shelby HOULIHAN,2,4:16.36,continental,SHELBY HOULIHAN
women_1500m,2018,IAAF Continental Cup,2018-09-08,Rababe ARAFI,3,4:17.19,continental,RABABE ARAFI
women_200m,2018,Diamond League Final,2018-08-18,Shaunae MILLER-UIBO,1,22.12,dl_final,SHAUNAE MILLER-UIBO
women_200m,2018,Diamond League Final,2018-08-18,Dafne SCHIPPERS,2,22.53,dl_final,DAFNE SCHIPPERS
women_200m,2018,Diamond League Final,2018-08-18,Jamile SAMUEL,3,22.64,dl_final,JAMILE SAMUEL
women_200m,2018,European Athletics Championships,2018-08-11,Dina ASHER-SMITH,1,21.89,continental,DINA ASHER-SMITH
women_200m,2018,European Athletics Championships,2018-08-11,Dafne SCHIPPERS,2,22.14,continental,DAFNE SCHIPPERS
women_200m,2018,European Athletics Championships,2018-08-11,Jamile SAMUEL,3,22.37,continental,JAMILE SAMUEL
women_200m,2018,IAAF Continental Cup,2018-09-09,Shaunae MILLER-UIBO,1,22.16,continental,SHAUNAE MILLER-UIBO
women_200m,2018,IAAF Continental Cup,2018-09-09,Dafne SCHIPPERS,2,22.28,continental,DAFNE SCHIPPERS
women_200m,2018,IAAF Continental Cup,2018-09-09,Marie-Josée TA LOU,3,22.61,continental,MARIE-JOSEE TA LOU
women_3000sc,2018,Diamond League Final,2018-08-18,Beatrice CHEPKOECH,1,8:55.10,dl_final,BEATRICE CHEPKOECH
women_3000sc,2018,Diamond League Final,2018-08-18,Norah JERUTO,2,8:59.62,dl_final,NORAH JERUTO
women_3000sc,2018,Diamond League Final,2018-08-18,Hyvin KIYENG,3,9:01.60,dl_final,HYVIN KIYENG
women_3000sc,2018,European Athletics Championships,2018-08-12,Gesa Felicitas KRAUSE,1,9:19.80,continental,GESA FELICITAS KRAUSE
women_3000sc,2018,European Athletics Championships,2018-08-12,Fabienne SCHLUMPF,2,9:22.29,continental,FABIENNE SCHLUMPF
women_3000sc,2018,European Athletics Championships,2018-08-12,Karoline Bjerkeli GRØVDAL,3,9:24.46,continental,KAROLINE BJERKELI GRØVDAL
women_3000sc,2018,IAAF Continental Cup,2018-09-09,Beatrice CHEPKOECH,1,9:07.92,continental,BEATRICE CHEPKOECH
women_3000sc,2018,IAAF Continental Cup,2018-09-09,Courtney FRERICHS,2,9:15.22,continental,COURTNEY FRERICHS
women_3000sc,2018,IAAF Continental Cup,2018-09-09,Winfred YAVI,3,9:17.86,continental,WINFRED YAVI
women_400h,2018,Diamond League Final,2018-08-18,Dalilah MUHAMMAD,1,53.88,dl_final,DALILAH MUHAMMAD
women_400h,2018,Diamond League Final,2018-08-18,Shamier LITTLE,2,54.21,dl_final,SHAMIER LITTLE
women_400h,2018,Diamond League Final,2018-08-18,Janieve RUSSELL,3,54.38,dl_final,JANIEVE RUSSELL
women_400h,2018,European Athletics Championships,2018-08-10,Lea SPRUNGER,1,54.33,continental,LEA SPRUNGER
women_400h,2018,European Athletics Championships,2018-08-10,Anna RYZHYKOVA,2,54.51,continental,ANNA RYZHYKOVA
women_400h,2018,European Athletics Championships,2018-08-10,Meghan BEESLEY,3,55.31,continental,MEGHAN BEESLEY
women_400h,2018,IAAF Continental Cup,2018-09-09,Janieve RUSSELL,1,53.62,continental,JANIEVE RUSSELL
women_400h,2018,IAAF Continental Cup,2018-09-09,Shamier LITTLE,2,53.86,continental,SHAMIER LITTLE
women_400h,2018,IAAF Continental Cup,2018-09-09,Anna RYZHYKOVA,3,54.47,continental,ANNA RYZHYKOVA
women_400m,2018,Diamond League Final,2018-08-18,Salwa Eid NASER,1,49.33,dl_final,SALWA EID NASER
women_400m,2018,Diamond League Final,2018-08-18,Phyllis FRANCIS,2,50.51,dl_final,PHYLLIS FRANCIS
women_400m,2018,Diamond League Final,2018-08-18,Shakima WIMBLEY,3,50.77,dl_final,SHAKIMA WIMBLEY
women_400m,2018,European Athletics Championships,2018-08-11,Justyna ŚWIĘTY-ERSETIC,1,50.41,continental,JUSTYNA SWIETY-ERSETIC
women_400m,2018,European Athletics Championships,2018-08-11,Maria BELIMPASAKI,2,50.45,continental,MARIA BELIMPASAKI
women_400m,2018,European Athletics Championships,2018-08-11,Lisanne DE WITTE,3,50.77,continental,LISANNE DE WITTE
women_400m,2018,IAAF Continental Cup,2018-09-08,Salwa Eid NASER,1,49.32,continental,SALWA EID NASER
women_400m,2018,IAAF Continental Cup,2018-09-08,Caster SEMENYA,2,49.62,continental,CASTER SEMENYA
women_400m,2018,IAAF Continental Cup,2018-09-08,Stephenie Ann MCPHERSON,3,50.82,continental,STEPHENIE ANN MCPHERSON
women_5000m,2018,Diamond League Final,2018-08-18,Hellen OBIRI,1,14:38.39,dl_final,HELLEN OBIRI
women_5000m,2018,Diamond League Final,2018-08-18,Sifan HASSAN,2,14:38.77,dl_final,SIFAN HASSAN
women_5000m,2018,Diamond League Final,2018-08-18,Senbere TEFERI,3,14:40.97,dl_final,SENBERE TEFERI
women_5000m,2018,European Athletics Championships,2018-08-12,Sifan HASSAN,1,14:46.12,continental,SIFAN HASSAN
women_5000m,2018,European Athletics Championships,2018-08-12,Eilish MCCOLGAN,2,14:53.05,continental,EILISH MCCOLGAN
women_5000m,2018,European Athletics Championships,2018-08-12,Yasemin CAN,3,14:57.63,continental,YASEMIN CAN
women_800m,2018,Diamond League Final,2018-08-18,Caster SEMENYA,1,1:55.27,dl_final,CASTER SEMENYA
women_800m,2018,Diamond League Final,2018-08-18,Ajee' WILSON,2,1:57.86,dl_final,AJEE' WILSON
women_800m,2018,Diamond League Final,2018-08-18,Natoya GOULE,3,1:58.49,dl_final,NATOYA GOULE
women_800m,2018,European Athletics Championships,2018-08-10,Natalya PRYSHCHEPA,1,2:00.38,continental,NATALYA PRYSHCHEPA
women_800m,2018,European Athletics Championships,2018-08-10,Rénelle LAMOTE,2,2:00.62,continental,RENELLE LAMOTE
women_800m,2018,European Athletics Championships,2018-08-10,Olha LYAKHOVA,3,2:00.79,continental,OLHA LYAKHOVA
women_800m,2018,IAAF Continental Cup,2018-09-09,Caster SEMENYA,1,1:54.77,continental,CASTER SEMENYA
women_800m,2018,IAAF Continental Cup,2018-09-09,Ajee' WILSON,2,1:57.16,continental,AJEE' WILSON
women_800m,2018,IAAF Continental Cup,2018-09-09,Natoya GOULE,3,1:57.36,continental,NATOYA GOULE
women_DT,2018,Diamond League Final,2018-08-18,Yaimé PÉREZ,1,65.00,dl_final,YAIME PEREZ
women_DT,2018,Diamond League Final,2018-08-18,Andressa DE MORAIS,2,64.65,dl_final,ANDRESSA DE MORAIS
women_DT,2018,Diamond League Final,2018-08-18,Sandra PERKOVIĆ,3,64.31,dl_final,SANDRA PERKOVIC
women_DT,2018,European Athletics Championships,2018-08-11,Sandra PERKOVIĆ,1,67.62,continental,SANDRA PERKOVIC
women_DT,2018,European Athletics Championships,2018-08-11,Nadine MÜLLER,2,63.00,continental,NADINE MULLER
women_DT,2018,European Athletics Championships,2018-08-11,Shanice CRAFT,3,62.46,continental,SHANICE CRAFT
women_DT,2018,IAAF Continental Cup,2018-09-08,Yaimé PÉREZ,1,65.30,continental,YAIME PEREZ
women_DT,2018,IAAF Continental Cup,2018-09-08,Sandra PERKOVIĆ,2,68.44,continental,SANDRA PERKOVIC
women_DT,2018,IAAF Continental Cup,2018-09-08,Yang CHEN,3,63.34,continental,YANG CHEN
women_HJ,2018,Diamond League Final,2018-08-18,Mariya LASITSKENE,1,1.97,dl_final,MARIYA LASITSKENE
women_HJ,2018,Diamond League Final,2018-08-18,Yuliia LEVCHENKO,2,1.94,dl_final,YULIIA LEVCHENKO
women_HJ,2018,Diamond League Final,2018-08-18,Marie-Laurence JUNGFLEISCH,3,1.90,dl_final,MARIE-LAURENCE JUNGFLEISCH
